User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Daily_Usage_Time_in_Minutes
1,20,non-binary,bangalore,undergraduate,freelancer,hinge,hinge,monthly,1 hour,finding a partner,4,safety concerns,audio calls,video calls,values > personality > appearance,60
2,24,female,delhi,undergraduate,part-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,time-wasting,video calls,text,values > personality > appearance,0
3,24,non-binary,kolkata,undergraduate,intern,okcupid,okcupid,weekly,2 hours,casual dating,4,safety concerns,detailed profiles,text,values > personality > appearance,120
4,22,non-binary,delhi,graduate,full-time job,okcupid,okcupid,daily,30 minutes,casual fun,3,safety concerns,ai recommendations,voice notes,personality > interests > values,0
5,18,male,delhi,graduate,intern,okcupid,okcupid,weekly,2 hours,casual fun,4,safety concerns,video calls,text,appearance > interests > personality,120
6,23,female,mumbai,undergraduate,student,okcupid,okcupid,daily,1.5 hours,casual dating,2,time-wasting,audio calls,video calls,values > personality > appearance,90
7,22,non-binary,chennai,postgraduate,part-time job,tinder,tinder,monthly,30 minutes,finding a partner,4,time-wasting,audio calls,text,personality > interests > values,0
8,21,female,pune,postgraduate,freelancer,hinge,tinder,weekly,1.5 hours,finding a partner,2,safety concerns,audio calls,video calls,values > personality > appearance,90
9,20,male,pune,postgraduate,part-time job,hinge,okcupid,daily,2 hours,finding a partner,1,lack of genuine matches,audio calls,text,values > personality > appearance,120
10,20,non-binary,chennai,undergraduate,intern,okcupid,bumble,weekly,3 hours,finding a partner,1,safety concerns,location-based matching,video calls,values > personality > appearance,180
11,18,female,hyderabad,postgraduate,full-time job,tinder,hinge,daily,1 hour,social interaction,1,time-wasting,location-based matching,voice notes,appearance > interests > personality,60
12,21,male,delhi,undergraduate,part-time job,hinge,hinge,monthly,3 hours,finding a partner,1,time-wasting,audio calls,voice notes,appearance > interests > personality,180
13,22,male,bangalore,undergraduate,student,hinge,okcupid,monthly,1 hour,casual dating,3,time-wasting,video calls,video calls,personality > interests > values,60
14,19,non-binary,bangalore,undergraduate,student,hinge,bumble,daily,2 hours,social interaction,1,lack of genuine matches,ai recommendations,voice notes,personality > interests > values,120
15,22,non-binary,chennai,graduate,intern,hinge,bumble,daily,1.5 hours,casual fun,1,lack of genuine matches,audio calls,voice notes,appearance > interests > personality,90
16,19,female,bangalore,undergraduate,freelancer,hinge,okcupid,daily,1.5 hours,casual dating,5,time-wasting,detailed profiles,text,appearance > interests > personality,90
17,22,non-binary,hyderabad,graduate,part-time job,bumble,tinder,monthly,1 hour,casual fun,3,lack of genuine matches,location-based matching,video calls,values > personality > appearance,60
18,19,non-binary,hyderabad,graduate,student,okcupid,okcupid,monthly,1 hour,finding a partner,3,safety concerns,detailed profiles,text,personality > interests > values,60
19,24,male,hyderabad,graduate,intern,hinge,hinge,daily,30 minutes,casual dating,2,lack of genuine matches,ai recommendations,video calls,personality > interests > values,0
20,22,non-binary,pune,undergraduate,student,hinge,hinge,weekly,1.5 hours,finding a partner,1,time-wasting,video calls,voice notes,appearance > interests > personality,90
21,22,male,mumbai,postgraduate,freelancer,hinge,bumble,weekly,3 hours,social interaction,1,safety concerns,ai recommendations,video calls,values > personality > appearance,180
22,25,non-binary,hyderabad,undergraduate,intern,hinge,bumble,weekly,3 hours,finding a partner,5,lack of genuine matches,ai recommendations,text,appearance > interests > personality,180
23,20,female,pune,graduate,full-time job,hinge,okcupid,daily,3 hours,finding a partner,4,safety concerns,audio calls,video calls,appearance > interests > personality,180
24,18,male,delhi,graduate,freelancer,tinder,bumble,weekly,2 hours,casual dating,5,time-wasting,detailed profiles,text,appearance > interests > personality,120
25,24,male,bangalore,postgraduate,full-time job,bumble,tinder,daily,2 hours,social interaction,3,time-wasting,location-based matching,text,values > personality > appearance,120
26,24,male,kolkata,graduate,full-time job,bumble,okcupid,weekly,3 hours,social interaction,2,lack of genuine matches,detailed profiles,voice notes,values > personality > appearance,180
27,21,female,delhi,undergraduate,student,bumble,tinder,weekly,3 hours,casual dating,5,lack of genuine matches,location-based matching,video calls,appearance > interests > personality,180
28,23,male,kolkata,undergraduate,part-time job,bumble,tinder,weekly,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,appearance > interests > personality,120
29,19,female,chennai,undergraduate,student,okcupid,okcupid,weekly,3 hours,casual dating,4,lack of genuine matches,detailed profiles,video calls,appearance > interests > personality,180
30,18,male,mumbai,undergraduate,freelancer,tinder,tinder,daily,3 hours,finding a partner,4,time-wasting,location-based matching,voice notes,personality > interests > values,180
31,24,non-binary,bangalore,graduate,full-time job,hinge,okcupid,weekly,30 minutes,casual dating,5,time-wasting,audio calls,voice notes,personality > interests > values,0
32,20,male,bangalore,graduate,full-time job,hinge,okcupid,monthly,1 hour,finding a partner,3,time-wasting,detailed profiles,voice notes,values > personality > appearance,60
33,24,female,delhi,graduate,part-time job,bumble,okcupid,weekly,30 minutes,casual dating,3,time-wasting,detailed profiles,text,personality > interests > values,0
34,25,male,kolkata,graduate,full-time job,bumble,hinge,weekly,3 hours,finding a partner,5,time-wasting,location-based matching,voice notes,appearance > interests > personality,180
35,21,female,delhi,graduate,full-time job,bumble,okcupid,daily,2 hours,casual dating,3,safety concerns,audio calls,voice notes,values > personality > appearance,120
36,22,non-binary,mumbai,postgraduate,part-time job,bumble,hinge,monthly,30 minutes,finding a partner,3,lack of genuine matches,ai recommendations,text,appearance > interests > personality,0
37,22,female,kolkata,undergraduate,intern,bumble,hinge,monthly,1 hour,finding a partner,3,safety concerns,video calls,voice notes,personality > interests > values,60
38,20,female,mumbai,undergraduate,full-time job,hinge,tinder,daily,1.5 hours,finding a partner,1,lack of genuine matches,audio calls,voice notes,appearance > interests > personality,90
39,21,male,delhi,postgraduate,full-time job,bumble,tinder,daily,1 hour,casual fun,1,safety concerns,location-based matching,voice notes,personality > interests > values,60
40,18,male,kolkata,graduate,intern,tinder,bumble,weekly,1 hour,social interaction,5,time-wasting,audio calls,video calls,appearance > interests > personality,60
41,24,male,bangalore,undergraduate,student,bumble,tinder,daily,1.5 hours,finding a partner,3,time-wasting,video calls,video calls,values > personality > appearance,90
42,19,female,pune,postgraduate,part-time job,okcupid,tinder,weekly,2 hours,casual dating,2,safety concerns,detailed profiles,voice notes,values > personality > appearance,120
43,19,female,bangalore,graduate,part-time job,okcupid,okcupid,weekly,2 hours,social interaction,4,lack of genuine matches,location-based matching,voice notes,values > personality > appearance,120
44,23,female,delhi,postgraduate,freelancer,tinder,hinge,weekly,2 hours,casual fun,5,lack of genuine matches,location-based matching,video calls,personality > interests > values,120
45,21,male,delhi,undergraduate,student,tinder,hinge,daily,1.5 hours,casual dating,2,lack of genuine matches,ai recommendations,text,values > personality > appearance,90
46,19,female,hyderabad,graduate,intern,okcupid,okcupid,weekly,2 hours,casual dating,5,safety concerns,audio calls,video calls,values > personality > appearance,120
47,21,male,kolkata,graduate,intern,okcupid,hinge,daily,1.5 hours,finding a partner,1,time-wasting,video calls,video calls,values > personality > appearance,90
48,24,non-binary,bangalore,undergraduate,full-time job,bumble,hinge,weekly,2 hours,finding a partner,2,time-wasting,location-based matching,voice notes,values > personality > appearance,120
49,21,male,bangalore,postgraduate,student,okcupid,hinge,weekly,30 minutes,casual fun,3,lack of genuine matches,location-based matching,voice notes,appearance > interests > personality,0
50,19,male,kolkata,postgraduate,full-time job,bumble,hinge,weekly,30 minutes,casual dating,2,time-wasting,ai recommendations,voice notes,appearance > interests > personality,0
51,19,female,pune,postgraduate,freelancer,bumble,tinder,monthly,1 hour,social interaction,5,time-wasting,video calls,voice notes,personality > interests > values,60
52,25,non-binary,delhi,graduate,part-time job,tinder,okcupid,daily,3 hours,finding a partner,2,time-wasting,detailed profiles,video calls,appearance > interests > personality,180
53,25,male,mumbai,graduate,full-time job,bumble,tinder,daily,1.5 hours,casual fun,2,lack of genuine matches,location-based matching,video calls,appearance > interests > personality,90
54,18,male,delhi,postgraduate,student,hinge,okcupid,weekly,3 hours,social interaction,5,safety concerns,ai recommendations,video calls,appearance > interests > personality,180
55,22,non-binary,mumbai,undergraduate,freelancer,hinge,okcupid,monthly,3 hours,finding a partner,3,time-wasting,location-based matching,voice notes,values > personality > appearance,180
56,20,non-binary,mumbai,undergraduate,intern,tinder,hinge,weekly,1.5 hours,finding a partner,5,time-wasting,video calls,video calls,appearance > interests > personality,90
57,23,non-binary,delhi,postgraduate,freelancer,tinder,bumble,daily,1.5 hours,social interaction,3,time-wasting,location-based matching,video calls,values > personality > appearance,90
58,19,female,mumbai,postgraduate,student,okcupid,bumble,daily,2 hours,casual fun,3,time-wasting,location-based matching,video calls,personality > interests > values,120
59,19,female,pune,postgraduate,student,okcupid,bumble,daily,3 hours,casual fun,5,time-wasting,ai recommendations,voice notes,appearance > interests > personality,180
60,22,male,chennai,undergraduate,full-time job,okcupid,bumble,monthly,3 hours,social interaction,1,time-wasting,video calls,video calls,values > personality > appearance,180
61,22,non-binary,bangalore,undergraduate,intern,okcupid,hinge,weekly,30 minutes,casual dating,4,safety concerns,detailed profiles,video calls,values > personality > appearance,0
62,24,female,bangalore,postgraduate,freelancer,tinder,hinge,weekly,2 hours,social interaction,3,time-wasting,ai recommendations,text,personality > interests > values,120
63,21,female,chennai,graduate,part-time job,okcupid,tinder,daily,1.5 hours,social interaction,4,time-wasting,ai recommendations,text,personality > interests > values,90
64,20,female,delhi,postgraduate,intern,hinge,okcupid,monthly,1 hour,finding a partner,5,time-wasting,ai recommendations,voice notes,appearance > interests > personality,60
65,23,male,kolkata,graduate,intern,hinge,bumble,weekly,2 hours,casual dating,4,safety concerns,audio calls,video calls,personality > interests > values,120
66,22,male,chennai,undergraduate,part-time job,bumble,okcupid,monthly,1.5 hours,social interaction,5,safety concerns,audio calls,video calls,values > personality > appearance,90
67,18,female,pune,postgraduate,intern,okcupid,hinge,daily,2 hours,casual fun,2,safety concerns,ai recommendations,text,appearance > interests > personality,120
68,22,male,bangalore,graduate,full-time job,okcupid,hinge,daily,1 hour,finding a partner,1,safety concerns,ai recommendations,voice notes,appearance > interests > personality,60
69,24,female,delhi,graduate,intern,hinge,bumble,monthly,3 hours,finding a partner,4,safety concerns,audio calls,text,personality > interests > values,180
70,18,male,hyderabad,postgraduate,intern,bumble,tinder,daily,3 hours,casual dating,2,safety concerns,detailed profiles,text,appearance > interests > personality,180
71,19,male,bangalore,postgraduate,part-time job,bumble,hinge,monthly,2 hours,casual dating,4,safety concerns,video calls,voice notes,values > personality > appearance,120
72,19,male,kolkata,graduate,intern,bumble,okcupid,daily,2 hours,casual fun,1,safety concerns,audio calls,text,personality > interests > values,120
73,25,non-binary,delhi,postgraduate,part-time job,hinge,hinge,daily,3 hours,finding a partner,2,safety concerns,audio calls,video calls,values > personality > appearance,180
74,25,female,bangalore,graduate,student,okcupid,okcupid,weekly,3 hours,finding a partner,4,lack of genuine matches,video calls,video calls,appearance > interests > personality,180
75,19,female,chennai,undergraduate,intern,okcupid,okcupid,daily,30 minutes,finding a partner,2,lack of genuine matches,ai recommendations,text,personality > interests > values,0
76,22,male,chennai,undergraduate,full-time job,tinder,hinge,monthly,30 minutes,finding a partner,3,lack of genuine matches,location-based matching,video calls,values > personality > appearance,0
77,23,male,mumbai,postgraduate,part-time job,hinge,bumble,weekly,1.5 hours,casual fun,4,lack of genuine matches,location-based matching,voice notes,appearance > interests > personality,90
78,25,non-binary,delhi,postgraduate,full-time job,hinge,bumble,daily,1.5 hours,casual fun,1,lack of genuine matches,detailed profiles,text,appearance > interests > personality,90
79,23,female,pune,postgraduate,student,okcupid,bumble,monthly,1 hour,casual dating,5,safety concerns,audio calls,voice notes,appearance > interests > personality,60
80,24,male,bangalore,postgraduate,freelancer,hinge,bumble,monthly,30 minutes,social interaction,5,time-wasting,ai recommendations,text,values > personality > appearance,0
81,18,female,delhi,undergraduate,freelancer,okcupid,okcupid,monthly,1 hour,casual fun,1,safety concerns,detailed profiles,video calls,appearance > interests > personality,60
82,18,male,chennai,graduate,freelancer,okcupid,bumble,daily,1 hour,social interaction,2,safety concerns,audio calls,voice notes,appearance > interests > personality,60
83,18,male,mumbai,undergraduate,intern,okcupid,bumble,daily,2 hours,social interaction,1,safety concerns,detailed profiles,text,appearance > interests > personality,120
84,22,non-binary,hyderabad,postgraduate,part-time job,hinge,tinder,weekly,1.5 hours,finding a partner,1,time-wasting,detailed profiles,video calls,appearance > interests > personality,90
85,18,non-binary,pune,undergraduate,intern,bumble,tinder,weekly,2 hours,social interaction,1,time-wasting,detailed profiles,video calls,appearance > interests > personality,120
86,20,female,delhi,postgraduate,student,hinge,tinder,monthly,1 hour,social interaction,5,time-wasting,detailed profiles,voice notes,values > personality > appearance,60
87,21,non-binary,pune,graduate,freelancer,bumble,hinge,monthly,3 hours,casual dating,5,time-wasting,audio calls,voice notes,values > personality > appearance,180
88,23,male,delhi,graduate,intern,tinder,hinge,daily,1 hour,social interaction,2,time-wasting,detailed profiles,voice notes,appearance > interests > personality,60
89,22,non-binary,hyderabad,postgraduate,full-time job,tinder,hinge,daily,3 hours,finding a partner,2,lack of genuine matches,location-based matching,video calls,appearance > interests > personality,180
90,24,male,hyderabad,graduate,full-time job,okcupid,hinge,weekly,3 hours,casual fun,5,time-wasting,ai recommendations,video calls,personality > interests > values,180
91,18,female,mumbai,postgraduate,intern,tinder,okcupid,daily,2 hours,social interaction,4,time-wasting,ai recommendations,voice notes,appearance > interests > personality,120
92,21,male,hyderabad,undergraduate,full-time job,hinge,tinder,monthly,2 hours,finding a partner,1,time-wasting,ai recommendations,voice notes,values > personality > appearance,120
93,22,non-binary,pune,graduate,full-time job,tinder,okcupid,weekly,30 minutes,casual dating,2,lack of genuine matches,video calls,voice notes,values > personality > appearance,0
94,21,non-binary,chennai,graduate,part-time job,okcupid,tinder,monthly,3 hours,casual dating,3,time-wasting,detailed profiles,text,values > personality > appearance,180
95,23,female,mumbai,undergraduate,full-time job,okcupid,tinder,monthly,3 hours,social interaction,2,time-wasting,detailed profiles,video calls,appearance > interests > personality,180
96,20,female,delhi,postgraduate,student,okcupid,tinder,daily,2 hours,finding a partner,4,time-wasting,video calls,voice notes,personality > interests > values,120
97,23,female,delhi,undergraduate,part-time job,hinge,bumble,daily,1.5 hours,finding a partner,5,time-wasting,video calls,voice notes,values > personality > appearance,90
98,22,male,chennai,graduate,part-time job,okcupid,bumble,daily,30 minutes,finding a partner,1,lack of genuine matches,location-based matching,video calls,personality > interests > values,0
99,20,male,kolkata,undergraduate,freelancer,okcupid,hinge,daily,1.5 hours,casual dating,2,lack of genuine matches,detailed profiles,voice notes,personality > interests > values,90
100,20,male,hyderabad,graduate,part-time job,okcupid,okcupid,weekly,3 hours,finding a partner,3,lack of genuine matches,location-based matching,video calls,personality > interests > values,180
101,19,non-binary,hyderabad,undergraduate,freelancer,tinder,bumble,daily,1.5 hours,casual fun,4,lack of genuine matches,audio calls,text,values > personality > appearance,90
102,19,male,kolkata,graduate,student,okcupid,okcupid,weekly,3 hours,finding a partner,5,time-wasting,video calls,video calls,appearance > interests > personality,180
103,25,male,delhi,postgraduate,part-time job,okcupid,tinder,monthly,30 minutes,social interaction,3,safety concerns,location-based matching,text,appearance > interests > personality,0
104,20,female,chennai,undergraduate,freelancer,hinge,okcupid,monthly,1 hour,finding a partner,4,safety concerns,video calls,voice notes,values > personality > appearance,60
105,25,male,delhi,undergraduate,student,hinge,bumble,monthly,1.5 hours,finding a partner,4,safety concerns,location-based matching,text,appearance > interests > personality,90
106,25,female,delhi,graduate,freelancer,tinder,bumble,weekly,2 hours,casual fun,3,safety concerns,video calls,video calls,appearance > interests > personality,120
107,25,male,mumbai,graduate,intern,tinder,okcupid,daily,30 minutes,casual fun,5,safety concerns,location-based matching,text,appearance > interests > personality,0
108,21,male,kolkata,undergraduate,freelancer,okcupid,hinge,daily,1.5 hours,casual dating,2,time-wasting,location-based matching,video calls,personality > interests > values,90
109,18,male,bangalore,undergraduate,freelancer,okcupid,tinder,monthly,2 hours,social interaction,1,time-wasting,audio calls,video calls,personality > interests > values,120
110,25,male,bangalore,graduate,freelancer,okcupid,tinder,daily,2 hours,casual fun,2,lack of genuine matches,audio calls,video calls,personality > interests > values,120
111,24,male,bangalore,undergraduate,full-time job,okcupid,tinder,weekly,2 hours,finding a partner,2,safety concerns,location-based matching,video calls,appearance > interests > personality,120
112,18,female,pune,undergraduate,freelancer,hinge,okcupid,weekly,1.5 hours,casual dating,4,lack of genuine matches,detailed profiles,text,values > personality > appearance,90
113,23,non-binary,chennai,undergraduate,intern,hinge,bumble,daily,1 hour,casual dating,3,time-wasting,location-based matching,video calls,personality > interests > values,60
114,19,male,chennai,postgraduate,intern,okcupid,hinge,weekly,1 hour,casual dating,1,time-wasting,location-based matching,video calls,appearance > interests > personality,60
115,23,male,hyderabad,graduate,freelancer,tinder,hinge,monthly,2 hours,casual dating,1,lack of genuine matches,location-based matching,video calls,values > personality > appearance,120
116,24,non-binary,kolkata,postgraduate,full-time job,tinder,tinder,weekly,1.5 hours,casual dating,1,lack of genuine matches,video calls,video calls,values > personality > appearance,90
117,24,female,delhi,undergraduate,intern,bumble,okcupid,daily,2 hours,finding a partner,3,lack of genuine matches,ai recommendations,text,values > personality > appearance,120
118,25,non-binary,chennai,undergraduate,freelancer,tinder,tinder,monthly,30 minutes,casual fun,3,time-wasting,detailed profiles,voice notes,personality > interests > values,0
119,19,male,delhi,postgraduate,intern,tinder,hinge,monthly,3 hours,casual fun,5,time-wasting,detailed profiles,video calls,personality > interests > values,180
120,21,non-binary,chennai,postgraduate,freelancer,hinge,hinge,monthly,2 hours,casual fun,1,time-wasting,location-based matching,voice notes,personality > interests > values,120
121,25,non-binary,delhi,graduate,student,bumble,hinge,daily,1 hour,social interaction,4,safety concerns,ai recommendations,text,values > personality > appearance,60
122,24,non-binary,bangalore,postgraduate,intern,bumble,okcupid,monthly,30 minutes,casual dating,4,safety concerns,detailed profiles,video calls,personality > interests > values,0
123,19,non-binary,bangalore,graduate,intern,bumble,bumble,monthly,1.5 hours,casual fun,3,safety concerns,detailed profiles,video calls,values > personality > appearance,90
124,20,non-binary,bangalore,undergraduate,intern,hinge,tinder,monthly,2 hours,casual fun,4,time-wasting,location-based matching,text,appearance > interests > personality,120
125,18,non-binary,delhi,postgraduate,freelancer,tinder,tinder,daily,1.5 hours,finding a partner,3,time-wasting,video calls,video calls,values > personality > appearance,90
126,21,male,chennai,graduate,part-time job,okcupid,hinge,monthly,30 minutes,finding a partner,5,safety concerns,location-based matching,text,values > personality > appearance,0
127,22,female,mumbai,postgraduate,student,hinge,hinge,monthly,3 hours,finding a partner,3,safety concerns,detailed profiles,text,personality > interests > values,180
128,24,male,pune,postgraduate,student,hinge,hinge,weekly,1 hour,finding a partner,2,time-wasting,detailed profiles,video calls,values > personality > appearance,60
129,25,female,mumbai,postgraduate,student,hinge,hinge,monthly,1 hour,casual dating,1,safety concerns,audio calls,video calls,personality > interests > values,60
130,23,male,mumbai,postgraduate,freelancer,hinge,hinge,monthly,30 minutes,casual dating,4,time-wasting,video calls,text,appearance > interests > personality,0
131,20,female,chennai,graduate,part-time job,bumble,hinge,daily,2 hours,finding a partner,4,lack of genuine matches,video calls,video calls,appearance > interests > personality,120
132,24,non-binary,bangalore,graduate,part-time job,bumble,okcupid,monthly,1.5 hours,finding a partner,1,lack of genuine matches,video calls,video calls,appearance > interests > personality,90
133,25,non-binary,pune,postgraduate,intern,bumble,bumble,monthly,30 minutes,finding a partner,2,time-wasting,video calls,video calls,personality > interests > values,0
134,25,female,pune,postgraduate,part-time job,hinge,bumble,daily,1.5 hours,casual fun,3,time-wasting,location-based matching,voice notes,personality > interests > values,90
135,20,female,kolkata,graduate,intern,hinge,bumble,daily,1 hour,finding a partner,4,time-wasting,detailed profiles,text,appearance > interests > personality,60
136,24,male,kolkata,undergraduate,student,bumble,bumble,daily,1 hour,finding a partner,2,lack of genuine matches,location-based matching,text,personality > interests > values,60
137,18,female,chennai,undergraduate,part-time job,bumble,bumble,daily,3 hours,casual dating,5,time-wasting,video calls,text,appearance > interests > personality,180
138,18,female,bangalore,undergraduate,full-time job,okcupid,okcupid,monthly,30 minutes,casual dating,4,lack of genuine matches,location-based matching,text,values > personality > appearance,0
139,23,non-binary,delhi,undergraduate,student,okcupid,okcupid,weekly,3 hours,casual dating,5,time-wasting,detailed profiles,video calls,personality > interests > values,180
140,18,male,chennai,postgraduate,student,tinder,hinge,monthly,1 hour,finding a partner,1,time-wasting,location-based matching,voice notes,values > personality > appearance,60
141,19,non-binary,bangalore,undergraduate,part-time job,okcupid,hinge,daily,1.5 hours,casual dating,1,time-wasting,audio calls,text,appearance > interests > personality,90
142,22,male,pune,postgraduate,intern,okcupid,okcupid,monthly,1 hour,social interaction,3,time-wasting,audio calls,video calls,values > personality > appearance,60
143,19,male,mumbai,graduate,freelancer,okcupid,hinge,daily,30 minutes,finding a partner,3,lack of genuine matches,audio calls,text,personality > interests > values,0
144,22,female,hyderabad,undergraduate,freelancer,okcupid,hinge,weekly,3 hours,finding a partner,3,time-wasting,location-based matching,video calls,values > personality > appearance,180
145,24,male,chennai,undergraduate,freelancer,tinder,okcupid,monthly,3 hours,social interaction,3,lack of genuine matches,detailed profiles,video calls,personality > interests > values,180
146,18,non-binary,kolkata,postgraduate,full-time job,hinge,bumble,weekly,2 hours,casual dating,5,lack of genuine matches,ai recommendations,voice notes,values > personality > appearance,120
147,23,non-binary,hyderabad,graduate,full-time job,hinge,tinder,weekly,30 minutes,casual fun,5,safety concerns,location-based matching,voice notes,values > personality > appearance,0
148,23,female,delhi,undergraduate,student,hinge,bumble,daily,3 hours,social interaction,5,safety concerns,audio calls,text,appearance > interests > personality,180
149,22,female,bangalore,graduate,full-time job,hinge,bumble,monthly,1.5 hours,casual dating,5,lack of genuine matches,audio calls,text,appearance > interests > personality,90
150,19,female,hyderabad,undergraduate,student,tinder,hinge,weekly,2 hours,social interaction,1,lack of genuine matches,ai recommendations,voice notes,values > personality > appearance,120
151,19,male,mumbai,undergraduate,intern,okcupid,hinge,monthly,3 hours,social interaction,2,time-wasting,audio calls,video calls,values > personality > appearance,180
152,18,non-binary,pune,graduate,freelancer,bumble,hinge,daily,30 minutes,social interaction,2,lack of genuine matches,detailed profiles,voice notes,appearance > interests > personality,0
153,24,female,hyderabad,graduate,part-time job,tinder,bumble,monthly,3 hours,casual fun,3,lack of genuine matches,audio calls,voice notes,personality > interests > values,180
154,23,male,delhi,undergraduate,freelancer,hinge,bumble,monthly,2 hours,casual dating,5,lack of genuine matches,location-based matching,voice notes,appearance > interests > personality,120
155,18,female,bangalore,graduate,freelancer,bumble,hinge,weekly,30 minutes,casual fun,4,lack of genuine matches,video calls,text,personality > interests > values,0
156,18,non-binary,pune,graduate,freelancer,tinder,bumble,monthly,1 hour,social interaction,3,time-wasting,location-based matching,video calls,appearance > interests > personality,60
157,22,female,hyderabad,graduate,full-time job,hinge,tinder,monthly,1.5 hours,social interaction,3,lack of genuine matches,location-based matching,text,values > personality > appearance,90
158,25,non-binary,hyderabad,undergraduate,part-time job,okcupid,hinge,daily,3 hours,social interaction,3,lack of genuine matches,ai recommendations,video calls,appearance > interests > personality,180
159,22,non-binary,chennai,graduate,student,okcupid,okcupid,weekly,2 hours,finding a partner,5,lack of genuine matches,ai recommendations,video calls,personality > interests > values,120
160,24,male,hyderabad,postgraduate,intern,bumble,bumble,weekly,1 hour,social interaction,2,safety concerns,audio calls,video calls,personality > interests > values,60
161,23,non-binary,bangalore,graduate,part-time job,bumble,okcupid,daily,3 hours,social interaction,1,time-wasting,ai recommendations,voice notes,appearance > interests > personality,180
162,23,female,kolkata,undergraduate,full-time job,bumble,hinge,monthly,1.5 hours,social interaction,2,time-wasting,audio calls,voice notes,values > personality > appearance,90
163,23,female,kolkata,graduate,freelancer,tinder,bumble,weekly,3 hours,casual fun,5,time-wasting,video calls,video calls,personality > interests > values,180
164,24,non-binary,pune,graduate,full-time job,okcupid,okcupid,daily,3 hours,casual dating,1,lack of genuine matches,video calls,voice notes,personality > interests > values,180
165,18,female,bangalore,postgraduate,part-time job,hinge,bumble,weekly,1 hour,casual fun,1,safety concerns,audio calls,text,appearance > interests > personality,60
